120,352,0.5
135,350.8,0.5
150,349,0.5
165,348,0.5
180,347,0.5
195,346.5,0.5
210,346,0.5
225,345.5,0.5
240,344.7,0.5
255,344.2,0.5
270,343.6,0.5
285,343,0.5
300,342.5,0.5
330,341.5,0.5
360,340.5,0.5
390,339.5,0.5
420,338.7,0.5
450,337.6,0.5
480,336.8,0.5
510,336,0.5
540,335,0.5
570,334.5,0.5
600,332.7,0.5
630,332.2,0.5
660,332,0.5
690,331.5,0.5
720,330.5,0.5
750,330,0.5
780,329.5,0.5
810,329,0.5
840,328,0.5
870,327.6,0.5
900,327,0.5
960,325.8,0.5
1020,324.8,0.5
1080,323.8,0.5
1140,322.8,0.5
1200,321.5,0.5
1260,320.8,0.5
1320,319.8,0.5
1380,319,0.5
1440,318,0.5
1500,317,0.5
1560,316.5,0.5
1620,316,0.5
1680,315,0.5
1740,314.5,0.5
1800,314,0.5
1860,313,0.5
1980,312,0.5
2100,310.8,0.5
2220,309.5,0.5
2340,308.5,0.5
2460,307.5,0.5
2580,306.5,0.5
2700,305.5,0.5
2820,304.7,0.5
2940,304,0.5
3060,303,0.5
3180,302.8,0.5
3300,302,0.5
